danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_
0.7340000000000001,0.637,-5.6770000000000005,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333.0,1
0.896,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,196653.0,1
0.526,0.106,-18.994,0.037,0.977,0.763,0.1169999999999999,0.688,109.791,120880.0,0
0.282,0.145,-18.921,0.0396,0.989,0.882,0.36,0.0979,112.76899999999999,134760.0,0
73.0,53.0,-6.0,9.0,8.0,,9.0,56.0,92.0,219.0,1
0.805,0.33,-8.712,0.1,0.22,0.0,0.105,0.211,121.97,242983.0,1
0.348,0.0595,-26.631,0.0555,0.958,2.65e-05,0.0843,0.13,132.982,261667.0,0
0.476,0.318,-15.814,0.0285,0.7040000000000001,0.0655,0.0865,0.356,113.91,400227.0,0
0.889,0.494,-5.577999999999999,0.139,0.0247,0.0,0.12,0.24,129.968,213613.0,1
0.8540000000000001,0.6920000000000001,-6.625,0.0479,0.0668,0.0,0.247,0.753,101.865,291782.0,1
0.5529999999999999,0.804,-5.4110000000000005,0.0406,0.0499,0.0,0.127,0.605,163.983,191552.0,0
0.807,0.602,-5.005,0.2739999999999999,0.0835,0.0,0.151,0.252,95.031,151649.0,1
0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.8859999999999999,97.79799999999999,283800.0,1
0.235,0.977,0.878,0.107,0.0035299999999999,0.00604,0.172,0.241,0.0,208133.0,0
0.374,0.188,-15.767,0.042,0.922,0.903,0.0651,0.2789999999999999,122.73100000000001,253067.0,0
78.0,50.0,-7.0,4.0,15.0,,11.0,39.0,130.0,235.0,0
0.527,0.856,-4.239,0.0629,0.00379,0.0,0.13,0.573,74.972,199242.0,0
0.588,0.91,-5.879,0.0437,0.0299,0.0,0.4529999999999999,0.888,122.041,-1.0,0
76.0,54.0,-6.0,3.0,4.0,,9.0,75.0,117.0,191.0,1
0.3879999999999999,0.297,-15.527,0.0315,0.836,0.89,0.961,0.263,94.92299999999999,426304.0,0
0.774,0.623,-7.871,0.245,0.156,0.0,0.0955,0.3929999999999999,128.661,220888.0,1
0.5720000000000001,0.355,-12.863,0.0286,0.452,0.0016,0.144,0.51,83.052,290187.0,0
60.0,84.0,-7.0,7.0,2.0,,11.0,47.0,95.0,240.0,0
0.414,0.186,-16.379,0.0611,0.956,6.08e-06,0.152,0.0784,136.232,46587.0,0
0.792,0.832,-4.406,0.0397,0.367,0.00164,0.198,0.186,127.983,146465.0,1
0.737,0.802,-4.771,0.0878,0.468,0.0,0.0931,0.682,144.015,172325.0,1
0.669,0.419,-6.724,0.522,0.376,0.0,0.187,0.0397,109.81299999999999,215320.0,1
0.66,0.3829999999999999,-9.377,0.0304,0.381,0.0,0.119,0.381,83.096,-1.0,1
0.645,0.792,-7.34,0.036,0.0562,0.0121,0.119,0.6659999999999999,90.565,232453.0,1
0.466,0.833,-4.215,0.304,0.0266,0.0,0.0327,0.6609999999999999,88.785,-1.0,1
0.7120000000000001,0.66,-8.797,0.051,0.0457,0.000293,0.084,0.3989999999999999,136.592,242854.0,0
0.6890000000000001,0.7390000000000001,-5.81,0.026,1.51e-05,0.509,0.064,0.578,120.42299999999999,233867.0,1
51.0,85.0,-4.0,27.0,47.0,,12.0,72.0,150.0,185.0,1
0.466,0.759,-4.978,0.1989999999999999,0.0521,0.0,0.0587,0.3279999999999999,0.0,264373.0,1
0.19,0.156,-15.438,0.032,0.918,6.9e-06,0.185,0.1989999999999999,58.266999999999996,149293.0,0
0.8009999999999999,0.908,-6.553999999999999,0.221,0.00253,0.000655,0.0698,0.805,87.279,278387.0,1
0.715,0.741,-3.962,0.5379999999999999,0.19,0.0,0.213,0.774,124.641,26717.0,0
0.539,0.583,-4.935,0.0275,0.108,0.0,0.111,0.337,86.06299999999999,328093.0,1
0.185,0.889,-5.4910000000000005,0.0743,0.00267,0.0981,0.291,0.331,77.555,230627.0,0
0.5670000000000001,0.6509999999999999,-7.146,0.0554,0.0519,0.0,0.183,0.519,93.98899999999999,199147.0,1
0.373,0.264,-7.393,0.0571,0.969,0.00869,0.296,0.435,63.924,-1.0,0
0.636,0.501,-7.26,0.3289999999999999,0.413,0.0,0.3389999999999999,0.196,82.309,-1.0,1
0.547,0.807,-4.083,0.36,0.3879999999999999,9.11e-05,0.0436,0.919,79.82300000000001,224427.0,1
0.714,0.728,-4.595,0.0468,0.298,0.0,0.106,0.901,114.996,177955.0,1
0.502,0.924,-6.299,0.0503,0.0127,0.0,0.162,0.922,149.186,219667.0,1
0.244,0.0348,-25.701,0.0501,0.978,0.00132,0.62,0.04,137.922,323827.0,0
0.595,0.7559999999999999,-5.3020000000000005,0.0481,0.316,0.00196,0.349,0.833,87.584,241147.0,0
0.915,0.6920000000000001,-7.544,0.0857,0.15,0.0001199999999999,0.0964,0.713,118.98100000000001,137174.0,1
0.162,0.119,-18.302,0.047,0.975,0.146,0.177,0.0386,82.73899999999999,248307.0,0
0.909,0.55,-7.795,0.0728,0.0688,8.97e-05,0.11,0.1889999999999999,130.036,194875.0,1
0.609,0.807,-7.221,0.0972,0.00403,5.42e-06,0.0926,0.492,119.073,238493.0,1
0.586,0.525,-8.968,0.498,0.0705,0.0,0.0729,0.491,126.51,222467.0,1
0.807,0.419,-8.189,0.0426,0.044,4.99e-06,0.0952,0.613,103.96700000000001,254493.0,1
0.331,0.945,-4.54,0.347,0.000231,0.0113,0.0435,0.151,174.005,-1.0,0
0.628,0.7509999999999999,-5.204,0.0302,0.0519,0.0,0.174,0.6809999999999999,0.0,153264.0,0
0.8740000000000001,0.568,-5.896,0.2239999999999999,0.0698,1.3800000000000002e-05,0.149,0.46,139.995,237400.0,1
0.691,0.823,-4.974,0.0626,0.0235,0.0,0.0781,0.149,125.973,134330.0,1
0.349,0.866,-6.676,0.1119999999999999,0.0361,0.0406,0.216,0.488,167.951,186000.0,0
0.625,0.266,-13.742,0.031,0.848,0.1989999999999999,0.103,0.303,136.11,-1.0,0
